אִנְשַאללַّה |  אם ירצה השם, הלוואי
אִלְחַמְדֻללַّה | השבח לאל, תודה לאל
כִּיף חַאלַכּ? | מה שְּׁלוֹמְךָ?
כִּיף חַאלֵכּּ? | מה שְׁלוֹמֵךְ?
כִּיפַכּ? | מה שְּׁלוֹמְךָ?
כִּיפֵכּּ? | מה שְׁלוֹמֵךְ?
כִּיף? | איך?
חַאל | מצב
חַ'אל | דוד
מְנִיח | טוב (שלומי טוב, לשון זכר)
מְנִיחַה | טובה (שלומי טוב, לשון נקבה)
עַאיְשִין | חיים
עַאיְשִ | חי
אִ(ל)סַّלַאם עַלֵיכֹּם | שלום, (שלום עליך)
וּעַלֵיכֹּם אִ(ל)סַّלַאם | שלום גם לך (ועליך השלום)
אַללַّה יְחַ'לִّיכּ	| תהיה בריא (שאללה ישאיר אותךָ)
אַללַّה יְחַ'לִّיכּי | תהיי בריאה (שאללה ישאיר אותךְ)
פֻרְצַה סַעִידֵה | נעים להכיר (הזדמנות נעימה)
סַלַאמַאת | להתראות
אַללַّה מַעַאכּ | להתראות (שהאל יהיה איתךָ, זכר)
אַללַّה מַעיכּ | להתראות (שהאל יהיה איתךְ, נקבה)
וַאללַّה | בחיי, ת'אמת
אַנַא | אני
אִנְתֵ | אתה
אִנְתִי | את
הֻוֵّ | הוא
הִיֵّ | היא
אִחְנַא | אנחנו
אִנְתוּ | אתם / אתן
הֻםֵّ | הם / הן
שוּ? | מה?
וֵין? | איפה?
מִין? | מי?
מִן וֵין? | מאיפה?
שוּ אִסְמַכּ? | איך קוראים לְךָ? (מה שמך?)
אִסְם | שֵׁם
שוּ אִסְמַכּ? | מה שִׁמְךָ?
שוּ אִסְמֵכּ? | מה שְׁמֵךְ?
פִי | ב, יש-
מִן | מ-
בַּסّ | אבל, רק, זהו
כַּמַאן | גם
הוֹן | כאן
הֻנַאכּ | שָׁם
כְּתִיר | הרבה, מאוד
אִלְקֻדְס | ירושלים
מִין אִנְתֵ? | מי אתה? 
מִין אִנְתִי? | מי את?
אַנַא מִן הוֹן, אִנְתֵ מן הֻנַאכּ? | אני מפה, אתה משם?
מִן וֵין אִנְתֵ? | מאיפה אתה? 
מִן וֵין אִנְתִי? | מאיפה את?
אַנַא כַּמַאן מִן אִלְקֻדְס | גם אני מירושלים
אִנְתִי כַּמַאן מִן הוֹן? | גם את מכאן?
סַאכֵּן | גר
סַאכְּנֵה | גרה
סַאכְּנִין | גרים / גרות
סַאכְּנַאת | גרות 
עַארֵף | יודע
עַארְפֵה | יודעת
עַארְפִין | יודעות / יודעים
עַארְפַאת | יודעות
פַאהֵם | מבין
פַאהְמֵה | מבינה
פַאהמִין | מבינות / מבינים 
פַאהְמַאת | מבינות
צַאחֵבּ | חבר
צְחַאבּ | חברים
צַאחְבֵּה | חברה
צַאחְבַּאת | חברות
וּלַאד | ילדים
בַּנַאת | בנות
טֻלַّאבּ | סטודנטים / תלמידים
צַאחֵבּי סַאכֵּן הֻנַאכּ | חבר שלי גר שם
מִש | לא (שלילה)
מא | מילת שלילה
פִש | אין
אַיְוַה | כן
אַה | כן
עִנְדִי | יש לי, אצלי
מַא עִנְדִי | אין לי
מַא עִנְדִיש | אין לי
פִש עִנְדִי | אין לי
עִנְדַכּ | יש לךָ
עִנְדֵכּ | יש לךְ
מַא עִנְדַכּ | אין לךָ
מַא עִנְדֵכּ | אין לךְ
מִש עַארֵף | לא יודע
הִיֵّ מִש סַאכְּנֵה הוֹן | היא לא גרה כאן
לַא, מִש פַאהְמִין | לא, לא מבינים
וֵין אִנְתוּ סַאכְּנִין? | איפה אתם גרים?
אִלְיוֹם | היום
וַקְת | זמן
סֻאַאל | שאלה
